model,temperature,run_index,problem_id,step_count,correct,correct_recheck,gold_answer,model_final_answer,비고,gold_choice,model_choice,parse_ok,raw_response_saved,titles,elapsed_time_seconds
gpt-5.2,0.0,1,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 표현 통일"", ""지수법칙 적용""]",6.166924
gpt-5.2,0.0,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 표현 통일"", ""지수법칙 적용""]",3.413926
gpt-5.2,0.0,3,2026_odd_common_1,2,TRUE,TRUE,1,1 (①),,1,,TRUE,FALSE,"[""지수 표현 통일"", ""지수법칙 적용""]",3.548179
gpt-5.2,0.5,1,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 표현 통일"", ""지수법칙 적용""]",4.181486
gpt-5.2,0.5,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 표현 통일"", ""지수법칙 적용""]",3.188378
gpt-5.2,0.5,3,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 표현 통일"", ""지수법칙으로 계산""]",2.727135
gpt-5.2,0.7,1,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""거듭제곱을 같은 밑으로 정리"", ""지수법칙으로 계산""]",2.67243
gpt-5.2,0.7,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 형태 통일"", ""지수법칙으로 계산""]",3.744071
gpt-5.2,0.7,3,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 표현 통일"", ""지수 법칙으로 계산""]",2.255403
gpt-5.2,1.0,1,2026_odd_common_1,2,TRUE,TRUE,1,1 (①),,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",3.338903
gpt-5.2,1.0,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""거듭제곱을 같은 밑으로 통일"", ""지수법칙으로 계산""]",2.807605
gpt-5.2,1.0,3,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 형태 통일"", ""지수 법칙 적용""]",3.339851
claude-opus-4.5,0.0,1,2026_odd_common_1,2,TRUE,TRUE,1,"**① 1**
[/FINAL_ANSWER]",,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",4.241181
claude-opus-4.5,0.0,2,2026_odd_common_1,2,TRUE,TRUE,1,**① 1**,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",4.153558
claude-opus-4.5,0.0,3,2026_odd_common_1,2,TRUE,TRUE,1,**① 1**,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",3.307892
claude-opus-4.5,0.5,1,2026_odd_common_1,2,TRUE,TRUE,1,"**① 1**
[/FINAL_ANSWER]",,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",4.847244
claude-opus-4.5,0.5,2,2026_odd_common_1,2,TRUE,TRUE,1,**① 1**,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙으로 계산""]",3.331011
claude-opus-4.5,0.5,3,2026_odd_common_1,2,TRUE,TRUE,1,**① 1**,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",4.493356
claude-opus-4.5,0.7,1,2026_odd_common_1,2,TRUE,TRUE,1,"**① 1**
[/FINAL_ANSWER]",,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",4.532293
claude-opus-4.5,0.7,2,2026_odd_common_1,2,TRUE,TRUE,1,**① 1**,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수 계산""]",3.660784
claude-opus-4.5,0.7,3,2026_odd_common_1,2,TRUE,TRUE,1,"**① 1**
[/FINAL_ANSWER]",,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",4.488143
claude-opus-4.5,1.0,1,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑을 통일"", ""지수 계산""]",5.326261
claude-opus-4.5,1.0,2,2026_odd_common_1,2,TRUE,TRUE,1,"**① 1**
[/FINAL_ANSWER]",,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",4.387676
claude-opus-4.5,1.0,3,2026_odd_common_1,2,TRUE,TRUE,1,**① 1**,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙으로 계산""]",3.454035
